ID,condition,shown_stimulus,pressed_key,correct_key,reaction_time_s,timestamp
1,A,left,left,True,0.3201680183410644,2021-05-05 12:17:22.102119
1,A,left,left,True,0.4871091842651367,2021-05-05 12:17:26.418655
1,A,left,left,True,0.3647871017456054,2021-05-05 12:17:30.797944
1,A,left,left,True,0.7488877773284912,2021-05-05 12:17:33.647616
1,A,left,left,True,0.7156240940093994,2021-05-05 12:17:40.647803
1,A,left,left,True,0.3334150314331054,2021-05-05 12:17:46.231535
1,A,left,left,True,0.3545539379119873,2021-05-05 12:17:52.288328
1,A,left,left,True,0.4923341274261474,2021-05-05 12:17:54.882068
1,A,left,left,True,0.3585460186004638,2021-05-05 12:18:01.292286
1,A,left,left,True,0.4151120185852051,2021-05-05 12:18:05.848307
1,B,right,right,True,0.3782989978790283,2021-05-05 12:18:11.312442
1,B,left,left,True,0.3788762092590332,2021-05-05 12:18:17.393315
1,B,right,right,True,0.7994730472564697,2021-05-05 12:18:22.944268
1,B,left,left,True,0.3785810470581054,2021-05-05 12:18:28.313437
1,B,left,right,False,0.5148990154266357,2021-05-05 12:18:31.949656
1,B,left,left,True,0.4951751232147217,2021-05-05 12:18:36.429851
1,B,right,right,True,0.4615938663482666,2021-05-05 12:18:38.897004
1,B,right,left,False,0.1015999317169189,2021-05-05 12:18:45.036825
1,B,left,left,True,0.543403148651123,2021-05-05 12:18:48.478379
1,B,right,right,True,0.5204660892486572,2021-05-05 12:18:50.956249
2,B,left,left,True,0.6006920337677002,2021-05-05 12:19:06.309068
2,B,left,left,True,0.4404220581054687,2021-05-05 12:19:09.875971
2,B,right,right,True,0.5277459621429443,2021-05-05 12:19:15.463131
2,B,left,left,True,0.3963191509246826,2021-05-05 12:19:22.161004
2,B,left,left,True,0.4875161647796631,2021-05-05 12:19:26.450010
2,B,right,right,True,0.466141939163208,2021-05-05 12:19:33.217044
2,B,left,left,True,0.3612041473388672,2021-05-05 12:19:38.329746
2,B,right,right,True,0.5180459022521973,2021-05-05 12:19:40.949282
2,B,left,left,True,0.4919338226318359,2021-05-05 12:19:46.428812
2,B,right,right,True,0.3903629779815674,2021-05-05 12:19:52.519666
2,A,left,left,True,0.4493348598480224,2021-05-05 12:19:57.395264
2,A,left,left,True,0.0796329975128173,2021-05-05 12:20:02.226169
2,A,left,left,True,0.427487850189209,2021-05-05 12:20:04.754974
2,A,left,left,True,0.3347129821777344,2021-05-05 12:20:08.240672
2,A,left,left,True,0.3708310127258301,2021-05-05 12:20:12.806511
2,A,left,left,True,0.371218204498291,2021-05-05 12:20:19.306764
2,A,left,left,True,0.6985878944396973,2021-05-05 12:20:22.105964
2,A,left,left,True,0.3621499538421631,2021-05-05 12:20:28.296583
2,A,left,left,True,0.4580659866333008,2021-05-05 12:20:30.856104
2,A,left,left,True,0.3616609573364258,2021-05-05 12:20:37.297141
3,A,left,left,True,0.4444611072540283,2021-05-05 12:20:49.949419
3,A,left,left,True,0.4291868209838867,2021-05-05 12:20:52.364958
3,A,left,left,True,0.38391900062561035,2021-05-05 12:20:57.500300
3,A,left,left,True,0.42149901390075684,2021-05-05 12:21:00.856579
3,A,left,left,True,0.3918778896331787,2021-05-05 12:21:04.327997
3,A,left,left,True,0.4646129608154297,2021-05-05 12:21:06.894113
3,A,left,left,True,0.4158759117126465,2021-05-05 12:21:12.351576
3,A,left,left,True,0.422360897064209,2021-05-05 12:21:15.859037
3,A,left,left,True,0.4245340824127197,2021-05-05 12:21:18.360957
3,A,left,left,True,0.37926697731018066,2021-05-05 12:21:23.491355
3,B,right,right,True,0.8986239433288574,2021-05-05 12:21:29.315996
3,B,left,left,True,0.4780910015106201,2021-05-05 12:21:31.895639
3,B,right,right,True,0.38565802574157715,2021-05-05 12:21:37.322908
3,B,left,right,False,0.4983091354370117,2021-05-05 12:21:41.934778
3,B,left,left,True,0.46099305152893066,2021-05-05 12:21:44.397737
3,B,left,left,True,0.4868040084838867,2021-05-05 12:21:47.923869
3,B,left,left,True,0.4440770149230957,2021-05-05 12:21:50.381378
3,B,right,right,True,0.483065128326416,2021-05-05 12:21:54.918900
3,B,left,left,True,0.4310019016265869,2021-05-05 12:22:00.367488
3,B,left,left,True,0.5067851543426514,2021-05-05 12:22:03.944336
4,B,right,right,True,0.40219593048095703,2021-05-05 12:13:47.243167
4,B,right,right,True,0.37949299812316895,2021-05-05 12:13:50.628118
4,B,left,left,True,0.36094021797180176,2021-05-05 12:13:54.109922
4,B,left,left,True,0.398439884185791,2021-05-05 12:13:57.647418
4,B,left,left,True,0.42110705375671387,2021-05-05 12:14:00.168658
4,B,left,left,True,0.4279489517211914,2021-05-05 12:14:03.674566
4,B,left,left,True,0.3639090061187744,2021-05-05 12:14:09.741546
4,B,left,left,True,0.4742310047149658,2021-05-05 12:14:14.223953
4,B,right,right,True,0.3512580394744873,2021-05-05 12:14:20.603186
4,B,right,left,False,0.3912990093231201,2021-05-05 12:14:26.702137
4,A,left,left,True,0.30971217155456543,2021-05-05 12:14:35.058206
4,A,left,left,True,0.3286120891571045,2021-05-05 12:14:40.580909
4,A,left,left,True,0.33782005310058594,2021-05-05 12:14:45.087342
4,A,left,left,True,0.34670209884643555,2021-05-05 12:14:47.536464
4,A,left,left,True,0.3068091869354248,2021-05-05 12:14:49.945763
4,A,left,left,True,0.4624021053314209,2021-05-05 12:14:56.709125
4,A,left,left,True,0.34757089614868164,2021-05-05 12:15:01.807638
4,A,left,left,True,0.3645570278167725,2021-05-05 12:15:05.113363
4,A,left,left,True,0.3463120460510254,2021-05-05 12:15:09.595619
4,A,left,left,True,0.3677530288696289,2021-05-05 12:15:14.718204
5,A,left,left,True,0.4495401382446289,2021-05-05 12:15:37.625871
5,A,left,left,True,0.3118641376495361,2021-05-05 12:15:42.692372
5,A,left,left,True,0.34955501556396484,2021-05-05 12:15:48.743321
5,A,left,left,True,0.5483510494232178,2021-05-05 12:15:51.296581
5,A,left,left,True,0.4170961380004883,2021-05-05 12:15:56.667170
5,A,left,left,True,0.3709990978240967,2021-05-05 12:16:01.789532
5,A,left,left,True,0.2994880676269531,2021-05-05 12:16:07.344552
5,A,left,left,True,0.3399479389190674,2021-05-05 12:16:11.586739
5,A,left,left,True,0.3965458869934082,2021-05-05 12:16:17.685854
5,A,left,left,True,0.3862869739532471,2021-05-05 12:16:21.135502
5,B,left,left,True,0.3886549472808838,2021-05-05 12:16:29.563814
5,B,right,right,True,0.5452849864959717,2021-05-05 12:16:34.862515
5,B,right,right,True,0.4428520202636719,2021-05-05 12:16:37.207425
5,B,left,left,True,0.3707020282745361,2021-05-05 12:16:43.618654
5,B,left,left,True,0.38081002235412603,2021-05-05 12:16:49.701805
5,B,right,right,True,0.4203221797943115,2021-05-05 12:16:53.167617
5,B,right,right,True,0.4653599262237549,2021-05-05 12:16:58.714386
5,B,left,left,True,0.38542294502258295,2021-05-05 12:17:03.852736
5,B,left,left,True,0.3845870494842529,2021-05-05 12:17:08.135056
5,B,right,right,True,0.3512680530548096,2021-05-05 12:17:12.601256
6,B,left,left,True,0.4106760025024414,2021-05-05 12:17:51.693154
6,B,left,left,True,0.3765408992767334,2021-05-05 12:17:56.127173
6,B,left,left,True,0.46245503425598145,2021-05-05 12:18:01.713911
6,B,left,left,True,0.5762331485748291,2021-05-05 12:18:04.323291
6,B,right,right,True,0.3722541332244873,2021-05-05 12:18:06.620280
6,B,right,right,True,0.4090728759765625,2021-05-05 12:18:12.735426
6,B,right,right,True,0.40466904640197754,2021-05-05 12:18:17.153634
6,B,left,left,True,0.37084102630615234,2021-05-05 12:18:19.618846
6,B,left,left,True,0.43004894256591797,2021-05-05 12:18:25.750037
6,B,right,right,True,0.4001960754394531,2021-05-05 12:18:32.457370
6,A,left,left,True,0.339184045791626,2021-05-05 12:18:37.524030
6,A,left,left,True,0.3220100402832031,2021-05-05 12:18:39.949089
6,A,left,left,True,0.46938586235046387,2021-05-05 12:18:45.671830
6,A,left,left,True,0.43140602111816406,2021-05-05 12:18:48.177107
6,A,left,left,True,0.5085840225219727,2021-05-05 12:18:52.755677
6,A,left,left,True,0.3698081970214844,2021-05-05 12:18:57.117664
6,A,left,left,True,0.3817000389099121,2021-05-05 12:19:02.632591
6,A,left,left,True,0.3798680305480957,2021-05-05 12:19:07.763075
6,A,left,left,True,0.44235801696777344,2021-05-05 12:19:10.188233
6,A,left,left,True,0.36544299125671387,2021-05-05 12:19:15.615040
